"visit","cluster","feature","mean_importance","sd_importance"
5,"Cluster 3","y3",0.848818471096295,0.0603073036157169
5,"Cluster 3","y4",0.825311984477313,0.0621968285105801
5,"Cluster 3","y5",0.729877538244628,0.0501986766707525
5,"Cluster 4","y1",0.916942419682474,0.0506217991383004
5,"Cluster 4","y2",0.907119495754342,0.064941937212987
5,"Cluster 4","y3",0.83771359577195,0.0677841985908344
5,"Cluster 4","y4",0.957416328037424,0.0320941393395121
5,"Cluster 4","y5",0.670225485391317,0.0683111582309709
6,"Cluster 1","y1",0.925968693642249,0.0583596721543641
6,"Cluster 1","y2",0.965150334431532,0.0370207533931423
6,"Cluster 1","y3",0.822392330024009,0.0449535639725329
6,"Cluster 1","y4",0.823834291146105,0.0566110509710095
6,"Cluster 1","y5",0.692310312840155,0.0594469480339599
6,"Cluster 2","y1",0.972162117544471,0.0279343274818879
6,"Cluster 2","y2",0.869436363581963,0.0654274051917679
6,"Cluster 2","y3",0.861343061811774,0.0505256911333966
6,"Cluster 2","y4",0.801844301509831,0.058784048139405
6,"Cluster 2","y5",0.664767401942196,0.0438580483936011
6,"Cluster 3","y1",0.942806938566132,0.0538247390319577
6,"Cluster 3","y2",0.957913394385886,0.0355739844033611
6,"Cluster 3","y3",0.862364621342776,0.0562366889053877
6,"Cluster 3","y4",0.825438253837051,0.0613785891239003
6,"Cluster 3","y5",0.733148617975397,0.0519973918475528
6,"Cluster 4","y1",0.921934248843573,0.0500340316153756
6,"Cluster 4","y2",0.918255749869385,0.0639893318956456
6,"Cluster 4","y3",0.850265808211736,0.0669394857252698
6,"Cluster 4","y4",0.949712929048078,0.035986604554736
6,"Cluster 4","y5",0.671215474596055,0.067255459904246
7,"Cluster 1","y1",0.924663620060094,0.0574784747765366
7,"Cluster 1","y2",0.965545474273907,0.0372387082596822
7,"Cluster 1","y3",0.824368107538134,0.0472661876541473
7,"Cluster 1","y4",0.829416081956651,0.0533621099532888
7,"Cluster 1","y5",0.694841988665337,0.0582468865720394
7,"Cluster 2","y1",0.976889650629499,0.0276568444989408
7,"Cluster 2","y2",0.872240928376164,0.0657036398948605
7,"Cluster 2","y3",0.858851219486483,0.0548218892827589
7,"Cluster 2","y4",0.804200964680083,0.061423914901408
7,"Cluster 2","y5",0.666461114881617,0.0429538827534067
7,"Cluster 3","y1",0.940800811270158,0.0538345813302965
7,"Cluster 3","y2",0.961055362960806,0.03585553864507
7,"Cluster 3","y3",0.865167992801575,0.0554113709438479
7,"Cluster 3","y4",0.826559015334332,0.060553330259443
7,"Cluster 3","y5",0.733263871512184,0.052042733531889
7,"Cluster 4","y1",0.92412067327559,0.0512692530865539
7,"Cluster 4","y2",0.924857790422249,0.0644483814476727
7,"Cluster 4","y3",0.850199757023754,0.0669542398577807
7,"Cluster 4","y4",0.944261796157976,0.0388214359104302
7,"Cluster 4","y5",0.674322181428955,0.0633388703272396
8,"Cluster 1","y1",0.92693466363173,0.0551578036137809
8,"Cluster 1","y2",0.96752518848545,0.0362260475987116
8,"Cluster 1","y3",0.826732260441872,0.0457950999499412
8,"Cluster 1","y4",0.83303533991998,0.053394707130616
8,"Cluster 1","y5",0.693243511726719,0.0558804123967897
8,"Cluster 2","y1",0.98205403085189,0.0222617190964544
8,"Cluster 2","y2",0.870348484387985,0.065463731077201
8,"Cluster 2","y3",0.858571040909644,0.0556032107075802
8,"Cluster 2","y4",0.803213508109813,0.0634343450900158
8,"Cluster 2","y5",0.666011028222818,0.0464033588675539
8,"Cluster 3","y1",0.940202389631535,0.0535653780262709
8,"Cluster 3","y2",0.959872806689133,0.0346457476623684
8,"Cluster 3","y3",0.868323636537089,0.0544794389244134
8,"Cluster 3","y4",0.825474525967726,0.0596678356285201
8,"Cluster 3","y5",0.735798441736367,0.0532646142580859
8,"Cluster 4","y1",0.9281309751026,0.0498663907242743
8,"Cluster 4","y2",0.927212886610615,0.0616941157070712
8,"Cluster 4","y3",0.852264036182284,0.0656405541249436
8,"Cluster 4","y4",0.943779616271693,0.0382683698206394
8,"Cluster 4","y5",0.674859003644178,0.0611124198783788
9,"Cluster 1","y1",0.922810500507723,0.0596123854788761
9,"Cluster 1","y2",0.970529333242859,0.0347694073758657
9,"Cluster 1","y3",0.828133338757005,0.0483976266228547
9,"Cluster 1","y4",0.832385459591869,0.0522845267016436
9,"Cluster 1","y5",0.698424667862089,0.0577891440691949
9,"Cluster 2","y1",0.984328779423573,0.0201189116554394
9,"Cluster 2","y2",0.869739076332952,0.067197830410041
9,"Cluster 2","y3",0.856251346327565,0.0601164686843295
9,"Cluster 2","y4",0.805149454548499,0.0694598512972384
9,"Cluster 2","y5",0.666102543793787,0.0473001297963916
9,"Cluster 3","y1",0.94023220902515,0.0542894349232459
9,"Cluster 3","y2",0.961334241431074,0.0349468475951768
9,"Cluster 3","y3",0.870440925608302,0.0545349941941449
9,"Cluster 3","y4",0.824761384627104,0.0587735502980096
9,"Cluster 3","y5",0.739066389591222,0.0559235215814076
9,"Cluster 4","y1",0.930563953753885,0.0492124311890665
9,"Cluster 4","y2",0.927709543784509,0.0622704164508558
9,"Cluster 4","y3",0.849308791295989,0.0655991952646887
9,"Cluster 4","y4",0.938794156136821,0.0444236902364518
9,"Cluster 4","y5",0.670927245659957,0.0646805208773439
10,"Cluster 1","y1",0.920521657653667,0.0598359521470332
10,"Cluster 1","y2",0.973420461320116,0.0324507682150851
10,"Cluster 1","y3",0.8275776086986,0.04701679118131
10,"Cluster 1","y4",0.83268193301541,0.0569499272546089
10,"Cluster 1","y5",0.698495307099083,0.0585446825406558
10,"Cluster 2","y1",0.985117368685622,0.0202901295976191
10,"Cluster 2","y2",0.87086162051451,0.0680596001839841
10,"Cluster 2","y3",0.859278501512441,0.0600759533787941
10,"Cluster 2","y4",0.805873883907481,0.0697023646155592
10,"Cluster 2","y5",0.664946848995368,0.0477099430267652
10,"Cluster 3","y1",0.937682923657822,0.0537138105366605
10,"Cluster 3","y2",0.964276638412323,0.0331463300165395
10,"Cluster 3","y3",0.869760392846759,0.0541700886086838
10,"Cluster 3","y4",0.825169501861723,0.0568419623028916
10,"Cluster 3","y5",0.737313928153207,0.0553991857958535
10,"Cluster 4","y1",0.929840544270758,0.0484977483625413
10,"Cluster 4","y2",0.928388257566711,0.062933703917471
10,"Cluster 4","y3",0.845873396921824,0.0645354997864516
10,"Cluster 4","y4",0.939920335883788,0.0438044154527261
10,"Cluster 4","y5",0.670715679236339,0.0604814318607076
